threshold,fpr,tpr,delta_fpr,avg_tpr,segment_area,cumulative_auc
0.999853751344942,0.000000,0.394755,0.000000,0.394730,0.000000,0.000000
0.9998527530744303,0.000000,0.395044,0.000000,0.394900,0.000000,0.000000
0.9998507512891694,0.000000,0.395189,0.000000,0.395117,0.000000,0.000000
0.999848822969731,0.000000,0.395479,0.000000,0.395334,0.000000,0.000000
0.9998482912245735,0.000000,0.395624,0.000000,0.395552,0.000000,0.000000
0.9998482085801206,0.000000,0.395721,0.000000,0.395672,0.000000,0.000000
0.9998479144086911,0.000000,0.395769,0.000000,0.395745,0.000000,0.000000
0.9998473574363703,0.000000,0.395866,0.000000,0.395817,0.000000,0.000000
0.9998472407430842,0.000000,0.395914,0.000000,0.395890,0.000000,0.000000
0.9998444306740073,0.000000,0.396010,0.000000,0.395962,0.000000,0.000000
0.999843396138509,0.000000,0.396059,0.000000,0.396035,0.000000,0.000000
0.9998420459338289,0.000000,0.396397,0.000000,0.396228,0.000000,0.000000
0.999837550892908,0.000000,0.396542,0.000000,0.396469,0.000000,0.000000
0.999837147580009,0.000000,0.396638,0.000000,0.396590,0.000000,0.000000
0.9998352404355519,0.000000,0.396832,0.000000,0.396735,0.000000,0.000000
0.9998349547688059,0.000000,0.396928,0.000000,0.396880,0.000000,0.000000
0.9998349199081348,0.000000,0.397073,0.000000,0.397001,0.000000,0.000000
0.9998317860406835,0.000000,0.397556,0.000000,0.397315,0.000000,0.000000
0.9998307551948554,0.000000,0.397701,0.000000,0.397628,0.000000,0.000000
0.9998306298583809,0.000000,0.397749,0.000000,0.397725,0.000000,0.000000
0.9998273866835625,0.000000,0.397991,0.000000,0.397870,0.000000,0.000000
0.9998264528261935,0.000000,0.398136,0.000000,0.398063,0.000000,0.000000
0.9998244590518022,0.000000,0.398281,0.000000,0.398208,0.000000,0.000000
0.9998231387120114,0.000000,0.398377,0.000000,0.398329,0.000000,0.000000
0.9998203626453934,0.000000,0.398474,0.000000,0.398425,0.000000,0.000000
0.9998190475524573,0.000000,0.398570,0.000000,0.398522,0.000000,0.000000
0.9998178060697606,0.000000,0.398667,0.000000,0.398619,0.000000,0.000000
0.9998157520187716,0.000000,0.399585,0.000000,0.399126,0.000000,0.000000
0.9998130411278214,0.000000,0.400019,0.000000,0.399802,0.000000,0.000000
0.9998121098887657,0.000000,0.400647,0.000000,0.400333,0.000000,0.000000
0.9998098858617303,0.000000,0.400696,0.000000,0.400671,0.000000,0.000000
0.9998098858617301,0.000000,0.400792,0.000000,0.400744,0.000000,0.000000
0.9998005285078723,0.000000,0.400937,0.000000,0.400865,0.000000,0.000000
0.9998003844301026,0.000000,0.401034,0.000000,0.400985,0.000000,0.000000
0.9997981365193673,0.000000,0.401179,0.000000,0.401106,0.000000,0.000000
0.9997965298678239,0.000000,0.401227,0.000000,0.401203,0.000000,0.000000
0.9997961226808922,0.000000,0.401565,0.000000,0.401396,0.000000,0.000000
0.999786424155195,0.000000,0.401806,0.000000,0.401686,0.000000,0.000000
0.9997854133018209,0.000000,0.403304,0.000000,0.402555,0.000000,0.000000
0.9997803033530718,0.000000,0.403400,0.000000,0.403352,0.000000,0.000000
0.9997790162346178,0.000000,0.403690,0.000000,0.403545,0.000000,0.000000
0.9997758375775214,0.000000,0.403835,0.000000,0.403763,0.000000,0.000000
0.9997754479018006,0.000000,0.403883,0.000000,0.403859,0.000000,0.000000
0.9997748826908495,0.000000,0.404318,0.000000,0.404101,0.000000,0.000000
0.9997696329739295,0.000000,0.404511,0.000000,0.404415,0.000000,0.000000
0.9997667712539555,0.000000,0.405574,0.000000,0.405043,0.000000,0.000000
0.999766546441893,0.000000,0.405670,0.000000,0.405622,0.000000,0.000000
0.9997628025312396,0.000000,0.405767,0.000000,0.405719,0.000000,0.000000
0.9997616059359017,0.000000,0.405864,0.000000,0.405815,0.000000,0.000000
0.9997604962650027,0.000000,0.406009,0.000000,0.405936,0.000000,0.000000
0.9997594239773926,0.000000,0.406491,0.000000,0.406250,0.000000,0.000000
0.9997579598283859,0.000000,0.406685,0.000000,0.406588,0.000000,0.000000
0.9997560460815542,0.000000,0.407023,0.000000,0.406854,0.000000,0.000000
0.9997551939705631,0.000000,0.407409,0.000000,0.407216,0.000000,0.000000
0.9997486968813268,0.000000,0.407506,0.000000,0.407457,0.000000,0.000000
0.9997478863247884,0.000000,0.407892,0.000000,0.407699,0.000000,0.000000
0.9997454447094697,0.000000,0.408134,0.000000,0.408013,0.000000,0.000000
0.999739313008949,0.000000,0.408520,0.000000,0.408327,0.000000,0.000000
0.9997387159510298,0.000000,0.408617,0.000000,0.408568,0.000000,0.000000
0.999736674000948,0.000000,0.408713,0.000000,0.408665,0.000000,0.000000
0.9997363648976958,0.000000,0.408762,0.000000,0.408737,0.000000,0.000000
0.9997346505203167,0.000000,0.408858,0.000000,0.408810,0.000000,0.000000
0.9997339985514921,0.000000,0.408906,0.000000,0.408882,0.000000,0.000000
0.9997339766345276,0.000000,0.409293,0.000000,0.409100,0.000000,0.000000
0.9997331279979383,0.000000,0.409486,0.000000,0.409389,0.000000,0.000000
0.9997308793784494,0.000000,0.409583,0.000000,0.409534,0.000000,0.000000
0.9997251891261305,0.000000,0.409631,0.000000,0.409607,0.000000,0.000000
0.9997225927868415,0.000000,0.430690,0.000000,0.420160,0.000000,0.000000
0.9997169043855859,0.000000,0.430786,0.000000,0.430738,0.000000,0.000000
0.9997141302729398,0.000000,0.430883,0.000000,0.430835,0.000000,0.000000
0.9997137892793089,0.000000,0.430980,0.000000,0.430931,0.000000,0.000000
0.9997098744645377,0.000000,0.431124,0.000000,0.431052,0.000000,0.000000
0.9997083273072539,0.000000,0.431173,0.000000,0.431149,0.000000,0.000000
0.999706835938333,0.000000,0.431318,0.000000,0.431245,0.000000,0.000000
0.9997052722022218,0.000000,0.431463,0.000000,0.431390,0.000000,0.000000
0.9997014295264912,0.000000,0.431752,0.000000,0.431607,0.000000,0.000000
0.999695452090647,0.000000,0.432139,0.000000,0.431946,0.000000,0.000000
0.999695134541835,0.000000,0.432380,0.000000,0.432259,0.000000,0.000000
